SINGLE-THREADING SIMULATION TABLE
Task #      Echelon      Priority      Request Code      Total Time      Start Time      End Time
    1)      1             1             7244             2600ms                 0ms          2600ms
    2)      1             1            17395             4753ms              2650ms          7403ms
    3)      1             1            59457             2766ms              7453ms         10219ms
    4)      1             1            40908             9852ms             10269ms         20121ms
    5)      1             1            31301             8383ms             20171ms         28554ms
    6)      1             1            44851             1303ms             28604ms         29907ms
    7)      1             1            30241              370ms             29957ms         30327ms
    8)      1             1             6328             1374ms             30377ms         31751ms
    9)      1             1            20867             8642ms             31801ms         40443ms
   10)      1             1            40932             9682ms             40493ms         50175ms
   11)      1             1            57803             2537ms             50225ms         52762ms
   12)      1             1            24697             4846ms             52812ms         57658ms
   13)      1             1            58767              167ms             57708ms         57875ms
   14)      1             1             9965             7381ms             57925ms         65306ms
   15)      1             1            64770             1202ms             65356ms         66558ms
   16)      1             1             3325             1695ms             66608ms         68303ms
   17)      1             1            28057             6507ms             68353ms         74860ms
   18)      1             1             9508             7233ms             74910ms         82143ms
   19)      1             1            14744             2061ms             82193ms         84254ms
   20)      1             1            38248             3031ms             84304ms         87335ms
   21)      1             1            50135             7083ms             87385ms         94468ms
   22)      1             1            37984             9054ms             94518ms        103572ms
   23)      1             1            63173             9583ms            103622ms        113205ms
   24)      1             1             1399             2101ms            113255ms        115356ms
   25)      1             1            17623             3030ms            115406ms        118436ms
   26)      1             1            36555             9447ms            118486ms        127933ms
   27)      1             1            50616             1124ms            127983ms        129107ms
   28)      1             1             7223             5176ms            129157ms        134333ms
   29)      1             1             2351             2237ms            134383ms        136620ms
   30)      1             1            39822             7318ms            136670ms        143988ms
   31)      1             1            62325             3743ms            144038ms        147781ms
   32)      1             1            12002             5811ms            147831ms        153642ms
   33)      1             1            46290             1655ms            153692ms        155347ms
   34)      1             1             4567             4610ms            155397ms        160007ms
   35)      1             1            10381             7573ms            160057ms        167630ms
   36)      1             1            26001             4973ms            167680ms        172653ms
   37)      1             1             3854             2584ms            172703ms        175287ms
   38)      1             1            58646              758ms            175337ms        176095ms
   39)      1             1            25586             8920ms            176145ms        185065ms
   40)      1             1            49445             2266ms            185115ms        187381ms
   41)      1             1            26860             3712ms            187431ms        191143ms
   42)      1             1            36025             2335ms            191193ms        193528ms
   43)      1             1            16087             8636ms            193578ms        202214ms
   44)      1             1            34730             7687ms            202264ms        209951ms
   45)      1             1            24373             5873ms            210001ms        215874ms
   46)      1             1            20006             4391ms            215924ms        220315ms
   47)      1             1            58515             2699ms            220365ms        223064ms
   48)      1             1             6575             3347ms            223114ms        226461ms
   49)      1             1            44568             3554ms            226511ms        230065ms
   50)      1             1            15588             2503ms            230115ms        232618ms
   51)      1             1            22922             2127ms            232668ms        234795ms
   52)      1             1             4606             5148ms            234845ms        239993ms
   53)      1             1            60048             4814ms            240043ms        244857ms
   54)      1             1            22240             7489ms            244907ms        252396ms
   55)      1             1            47936             8110ms            252446ms        260556ms
   56)      1             1            49339             3555ms            260606ms        264161ms
   57)      1             1             3472             6403ms            264211ms        270614ms
   58)      1             1            45667             7239ms            270664ms        277903ms
   59)      1             1            60195             4426ms            277953ms        282379ms
   60)      1             1            11878             2072ms            282429ms        284501ms
   61)      1             1            37338              814ms            284551ms        285365ms
   62)      1             1             7411             5359ms            285415ms        290774ms
   63)      1             1            53124             4633ms            290824ms        295457ms
   64)      1             1            57814             6269ms            295507ms        301776ms
   65)      1             1            37889             1431ms            301826ms        303257ms
   66)      1             1            14968             6336ms            303307ms        309643ms
   67)      1             1            21785             1996ms            309693ms        311689ms
   68)      1             1            64003             6520ms            311739ms        318259ms
   69)      1             1            49065             6808ms            318309ms        325117ms
   70)      1             1            30262             8540ms            325167ms        333707ms
   71)      1             1            20655             5359ms            333757ms        339116ms
   72)      1             1            57258             9613ms            339166ms        348779ms
   73)      1             1            43485             8197ms            348829ms        357026ms
   74)      1             1            53662             8765ms            357076ms        365841ms
   75)      1             1            50656             6995ms            365891ms        372886ms
   76)      1             1            60259             7555ms            372936ms        380491ms
   77)      1             1            14480             1462ms            380541ms        382003ms
   78)      1             1             3584             7752ms            382053ms        389805ms
   79)      1             1            28128             3250ms            389855ms        393105ms
   80)      1             1            19385             8185ms            393155ms        401340ms
   81)      1             1            33661             7110ms            401390ms        408500ms
   82)      1             1            62763             4789ms            408550ms        413339ms
   83)      1             1            25516             8271ms            413389ms        421660ms
   84)      1             1            31247             7625ms            421710ms        429335ms
   85)      1             1            36971             6089ms            429385ms        435474ms
   86)      1             1            65401             2392ms            435524ms        437916ms
   87)      1             1            64746             4880ms            437966ms        442846ms
   88)      1             1            64786             7608ms            442896ms        450504ms
   89)      1             1            11587             2380ms            450554ms        452934ms
   90)      1             1            17886               54ms            452984ms        453038ms
   91)      1             1            39512             4754ms            453088ms        457842ms
   92)      1             1              558             4221ms            457892ms        462113ms
   93)      1             1            56779             1798ms            462163ms        463961ms
   94)      1             1            48244             9798ms            464011ms        473809ms
   95)      1             1            20081             1955ms            473859ms        475814ms
   96)      1             1            38882             6683ms            475864ms        482547ms
   97)      1             1            52569             6236ms            482597ms        488833ms
   98)      1             1             2777             2554ms            488883ms        491437ms
   99)      1             2            49325             4363ms            491487ms        495850ms
  100)      1             2            60019             6465ms            495900ms        502365ms
  101)      1             2            10451             1105ms            502415ms        503520ms
  102)      1             2            55985             5859ms            503570ms        509429ms
  103)      1             2            23842             3475ms            509479ms        512954ms
  104)      1             2             7665             5220ms            513004ms        518224ms
  105)      1             2            38888             2092ms            518274ms        520366ms
  106)      1             2            43219             2843ms            520416ms        523259ms
  107)      1             2            33293             6752ms            523309ms        530061ms
  108)      1             2            59160             4058ms            530111ms        534169ms
  109)      1             2            59478             6411ms            534219ms        540630ms
  110)      1             2            59570             6846ms            540680ms        547526ms
  111)      1             2            40131             8176ms            547576ms        555752ms
  112)      1             2            55061             8632ms            555802ms        564434ms
  113)      1             2            25824             6238ms            564484ms        570722ms
  114)      1             2            48858             6241ms            570772ms        577013ms
  115)      1             2            62213             1823ms            577063ms        578886ms
  116)      1             2            37703             1010ms            578936ms        579946ms
  117)      1             2            55016             3603ms            579996ms        583599ms
  118)      1             2            15336             8767ms            583649ms        592416ms
  119)      1             2            61727             9321ms            592466ms        601787ms
  120)      1             2             4346             6731ms            601837ms        608568ms
  121)      1             2            24951             3096ms            608618ms        611714ms
  122)      1             2            25904             9165ms            611764ms        620929ms
  123)      1             2             7600             5034ms            620979ms        626013ms
  124)      1             2            46651             5963ms            626063ms        632026ms
  125)      1             2            43784             8448ms            632076ms        640524ms
  126)      1             2            23877             5822ms            640574ms        646396ms
  127)      1             2            20570              521ms            646446ms        646967ms
  128)      1             2            27866             3471ms            647017ms        650488ms
  129)      1             2            23125             3369ms            650538ms        653907ms
  130)      1             2            29379             2920ms            653957ms        656877ms
  131)      1             2            26301             9698ms            656927ms        666625ms
  132)      1             2            63154             8162ms            666675ms        674837ms
  133)      1             2            16363             2446ms            674887ms        677333ms
  134)      1             2             9337             3809ms            677383ms        681192ms
  135)      1             2            35316             4057ms            681242ms        685299ms
  136)      1             2             9990             4105ms            685349ms        689454ms
  137)      1             2            12767              158ms            689504ms        689662ms
  138)      1             2            38243             2212ms            689712ms        691924ms
  139)      1             2            13192             1515ms            691974ms        693489ms
  140)      1             2            13073             1189ms            693539ms        694728ms
  141)      1             2             6089             2689ms            694778ms        697467ms
  142)      1             2            22488             8048ms            697517ms        705565ms
  143)      1             2            20891             9512ms            705615ms        715127ms
  144)      1             2            41903              700ms            715177ms        715877ms
  145)      1             2             1057             4008ms            715927ms        719935ms
  146)      1             2            59800             8958ms            719985ms        728943ms
  147)      1             2            26913              963ms            728993ms        729956ms
  148)      1             2             6172             2189ms            730006ms        732195ms
  149)      1             2            38955              631ms            732245ms        732876ms
  150)      1             2            55480             9956ms            732926ms        742882ms
  151)      1             2            10913             2526ms            742932ms        745458ms
  152)      1             2            56183             1738ms            745508ms        747246ms
  153)      1             2            27004             4942ms            747296ms        752238ms
  154)      1             2            26885             6049ms            752288ms        758337ms
  155)      1             2            12498             5281ms            758387ms        763668ms
  156)      1             2            19598              276ms            763718ms        763994ms
  157)      1             2            24867               78ms            764044ms        764122ms
  158)      1             2             7555             2613ms            764172ms        766785ms
  159)      1             2             3907              302ms            766835ms        767137ms
  160)      1             2             6729             4315ms            767187ms        771502ms
  161)      1             2            46679             3687ms            771552ms        775239ms
  162)      1             2            11042             6123ms            775289ms        781412ms
  163)      1             2             4390             7735ms            781462ms        789197ms
  164)      1             2            34858             3897ms            789247ms        793144ms
  165)      1             2            58516             7829ms            793194ms        801023ms
  166)      1             2            28229             6219ms            801073ms        807292ms
  167)      1             2            51099             4780ms            807342ms        812122ms
  168)      1             2             4306             2244ms            812172ms        814416ms
  169)      1             2            45125             7675ms            814466ms        822141ms
  170)      1             2            14450             4716ms            822191ms        826907ms
  171)      1             2             1794             2155ms            826957ms        829112ms
  172)      1             2             2300             8859ms            829162ms        838021ms
  173)      1             2            48025             4019ms            838071ms        842090ms
  174)      1             2            34071             9781ms            842140ms        851921ms
  175)      1             2             6887             3173ms            851971ms        855144ms
  176)      1             2            56600             6143ms            855194ms        861337ms
  177)      1             2            64467             3657ms            861387ms        865044ms
  178)      1             2            19872             4910ms            865094ms        870004ms
  179)      1             2            52180             7338ms            870054ms        877392ms
  180)      1             2            22533             4558ms            877442ms        882000ms
  181)      1             2            55577             4019ms            882050ms        886069ms
  182)      1             2            48667             3283ms            886119ms        889402ms
  183)      1             2            36008             2534ms            889452ms        891986ms
  184)      1             2            55087              614ms            892036ms        892650ms
  185)      1             2            31216             4911ms            892700ms        897611ms
  186)      1             2              350             2696ms            897661ms        900357ms
  187)      1             2            55009             6209ms            900407ms        906616ms
  188)      1             2            43039             4729ms            906666ms        911395ms
  189)      1             2            55438             3562ms            911445ms        915007ms
  190)      1             2            50225             1682ms            915057ms        916739ms
  191)      1             2            57090             6583ms            916789ms        923372ms
  192)      1             2            14742             6771ms            923422ms        930193ms
  193)      1             2            57317               14ms            930243ms        930257ms
  194)      1             2            18367             6574ms            930307ms        936881ms
  195)      1             2            56811              440ms            936931ms        937371ms
  196)      1             3            21904             4049ms            937421ms        941470ms
  197)      1             3            60511             1692ms            941520ms        943212ms
  198)      1             3            24213              287ms            943262ms        943549ms
  199)      1             3            56703             5647ms            943599ms        949246ms
  200)      1             3            42683             2791ms            949296ms        952087ms
  201)      1             3            52315             4636ms            952137ms        956773ms
  202)      1             3            22364             7110ms            956823ms        963933ms
  203)      1             3            40735             4817ms            963983ms        968800ms
  204)      1             3            46619             8557ms            968850ms        977407ms
  205)      1             3            36622             4536ms            977457ms        981993ms
  206)      1             3            27553             8742ms            982043ms        990785ms
  207)      1             3             2880             7388ms            990835ms        998223ms
  208)      1             3            12983             4133ms            998273ms       1002406ms
  209)      1             3            30021              407ms           1002456ms       1002863ms
  210)      1             3            23902             2024ms           1002913ms       1004937ms
  211)      1             3            22764             5754ms           1004987ms       1010741ms
  212)      1             3            36733              732ms           1010791ms       1011523ms
  213)      1             3            20717             2483ms           1011573ms       1014056ms
  214)      1             3             6781             2666ms           1014106ms       1016772ms
  215)      1             3            28101             4924ms           1016822ms       1021746ms
  216)      1             3            16560             7640ms           1021796ms       1029436ms
  217)      1             3            33413              803ms           1029486ms       1030289ms
  218)      1             3            57189              187ms           1030339ms       1030526ms
  219)      1             3            31615              323ms           1030576ms       1030899ms
  220)      1             3            50930             7340ms           1030949ms       1038289ms
  221)      1             3            61802             3307ms           1038339ms       1041646ms
  222)      1             3              295             2048ms           1041696ms       1043744ms
  223)      1             3            60785             7673ms           1043794ms       1051467ms
  224)      1             3            34387               99ms           1051517ms       1051616ms
  225)      1             3            21962             4627ms           1051666ms       1056293ms
  226)      1             3            13427             4871ms           1056343ms       1061214ms
  227)      1             3            61073             2136ms           1061264ms       1063400ms
  228)      1             3            18435             3053ms           1063450ms       1066503ms
  229)      1             3            11663             7113ms           1066553ms       1073666ms
  230)      1             3            18867             3676ms           1073716ms       1077392ms
  231)      1             3            50798             2512ms           1077442ms       1079954ms
  232)      1             3            62502             2995ms           1080004ms       1082999ms
  233)      1             3             9002             9638ms           1083049ms       1092687ms
  234)      1             3            54079             1288ms           1092737ms       1094025ms
  235)      1             3            20393             2828ms           1094075ms       1096903ms
  236)      1             3            37011              515ms           1096953ms       1097468ms
  237)      1             3            22223             3634ms           1097518ms       1101152ms
  238)      1             3             5276             5954ms           1101202ms       1107156ms
  239)      1             3            65518             1106ms           1107206ms       1108312ms
  240)      1             3             5628             3744ms           1108362ms       1112106ms
  241)      1             3             5792             9580ms           1112156ms       1121736ms
  242)      1             3            56664             8819ms           1121786ms       1130605ms
  243)      1             3            62608             4113ms           1130655ms       1134768ms
  244)      1             3            57430             5031ms           1134818ms       1139849ms
  245)      1             3            41483             2895ms           1139899ms       1142794ms
  246)      1             3            56803             3836ms           1142844ms       1146680ms
  247)      1             3            10905             3596ms           1146730ms       1150326ms
  248)      1             3            30008             4768ms           1150376ms       1155144ms
  249)      1             3            25904             9816ms           1155194ms       1165010ms
  250)      1             3            58184             4511ms           1165060ms       1169571ms
  251)      1             3            40527             8362ms           1169621ms       1177983ms
  252)      1             3            55300             3196ms           1178033ms       1181229ms
  253)      1             3            48061             6812ms           1181279ms       1188091ms
  254)      1             3            56134             2957ms           1188141ms       1191098ms
  255)      1             3            32319             1086ms           1191148ms       1192234ms
  256)      1             3            37599             9122ms           1192284ms       1201406ms
  257)      1             3             5977             1661ms           1201456ms       1203117ms
  258)      1             3            14903             3295ms           1203167ms       1206462ms
  259)      1             3            25993             9047ms           1206512ms       1215559ms
  260)      1             3            54662             4556ms           1215609ms       1220165ms
  261)      1             3            53506             5863ms           1220215ms       1226078ms
  262)      1             3            57360              762ms           1226128ms       1226890ms
  263)      1             3            43792             1975ms           1226940ms       1228915ms
  264)      1             3            22082             5961ms           1228965ms       1234926ms
  265)      1             3            52923             6901ms           1234976ms       1241877ms
  266)      1             3             1695             2329ms           1241927ms       1244256ms
  267)      1             3            38474             5320ms           1244306ms       1249626ms
  268)      1             3            23182             3751ms           1249676ms       1253427ms
  269)      1             3            64717             1636ms           1253477ms       1255113ms
  270)      1             3            46729             5797ms           1255163ms       1260960ms
  271)      1             3            23135             6743ms           1261010ms       1267753ms
  272)      1             3            49923               91ms           1267803ms       1267894ms
  273)      1             3            63393             3552ms           1267944ms       1271496ms
  274)      1             3            25223             5853ms           1271546ms       1277399ms
  275)      1             3             8526             1516ms           1277449ms       1278965ms
  276)      1             3             7978             2768ms           1279015ms       1281783ms
  277)      1             3            39550             2645ms           1281833ms       1284478ms
  278)      1             3              421             2873ms           1284528ms       1287401ms
  279)      1             3             8702             8824ms           1287451ms       1296275ms
  280)      1             3            56989             8540ms           1296325ms       1304865ms
  281)      1             3             1195             4525ms           1304915ms       1309440ms
  282)      1             3            43513             2590ms           1309490ms       1312080ms
  283)      1             3            55665             9076ms           1312130ms       1321206ms
  284)      1             3            40389             5155ms           1321256ms       1326411ms
  285)      1             3             3091             8407ms           1326461ms       1334868ms
  286)      1             3            51038             4606ms           1334918ms       1339524ms
  287)      1             3            22913             6679ms           1339574ms       1346253ms
  288)      1             3            22829             7672ms           1346303ms       1353975ms
  289)      1             3            62581             5656ms           1354025ms       1359681ms
  290)      1             3            45619             8249ms           1359731ms       1367980ms
  291)      1             3            30244              405ms           1368030ms       1368435ms
  292)      1             4             1706             2309ms           1368485ms       1370794ms
  293)      1             4            25093             3676ms           1370844ms       1374520ms
  294)      1             4            37718             7466ms           1374570ms       1382036ms
  295)      1             4            13610              120ms           1382086ms       1382206ms
  296)      1             4            22907              321ms           1382256ms       1382577ms
  297)      1             4            18274             7500ms           1382627ms       1390127ms
  298)      1             4            46590             8856ms           1390177ms       1399033ms
  299)      1             4            31322             6231ms           1399083ms       1405314ms
  300)      1             4            48870             6828ms           1405364ms       1412192ms
  301)      1             4            49782             8396ms           1412242ms       1420638ms
  302)      1             4             3159             9139ms           1420688ms       1429827ms
  303)      1             4            47840             4337ms           1429877ms       1434214ms
  304)      1             4             2243             1394ms           1434264ms       1435658ms
  305)      1             4             2029             1709ms           1435708ms       1437417ms
  306)      1             4              687              103ms           1437467ms       1437570ms
  307)      1             4            30584             3555ms           1437620ms       1441175ms
  308)      1             4            15229             3908ms           1441225ms       1445133ms
  309)      1             4            64807             7236ms           1445183ms       1452419ms
  310)      1             4            55487             9274ms           1452469ms       1461743ms
  311)      1             4            26041             7167ms           1461793ms       1468960ms
  312)      1             4            58100             6199ms           1469010ms       1475209ms
  313)      1             4            36066             6662ms           1475259ms       1481921ms
  314)      1             4            20965             1898ms           1481971ms       1483869ms
  315)      1             4            32255             1872ms           1483919ms       1485791ms
  316)      1             4             6035             5369ms           1485841ms       1491210ms
  317)      1             4            15497             2885ms           1491260ms       1494145ms
  318)      1             4            23613             7062ms           1494195ms       1501257ms
  319)      1             4            53951             3637ms           1501307ms       1504944ms
  320)      1             4            33770             6750ms           1504994ms       1511744ms
  321)      1             4            31499             5025ms           1511794ms       1516819ms
  322)      1             4             6581             9423ms           1516869ms       1526292ms
  323)      1             4            14152             1493ms           1526342ms       1527835ms
  324)      1             4            62554             2706ms           1527885ms       1530591ms
  325)      1             4            45250             7608ms           1530641ms       1538249ms
  326)      1             4            55896             4458ms           1538299ms       1542757ms
  327)      1             4             8633             6923ms           1542807ms       1549730ms
  328)      1             4            57177             4598ms           1549780ms       1554378ms
  329)      1             4            15044             2156ms           1554428ms       1556584ms
  330)      1             4             5075             6066ms           1556634ms       1562700ms
  331)      1             4            51923             9618ms           1562750ms       1572368ms
  332)      1             4            31720             4274ms           1572418ms       1576692ms
  333)      1             4            64750             9646ms           1576742ms       1586388ms
  334)      1             4            61856             5177ms           1586438ms       1591615ms
  335)      1             4            28703             7494ms           1591665ms       1599159ms
  336)      1             4            42465             5739ms           1599209ms       1604948ms
  337)      1             4            47713             4400ms           1604998ms       1609398ms
  338)      1             4            58745             8748ms           1609448ms       1618196ms
  339)      1             4            11287             4256ms           1618246ms       1622502ms
  340)      1             4            27706              228ms           1622552ms       1622780ms
  341)      1             4            47951             7089ms           1622830ms       1629919ms
  342)      1             4            45489             2096ms           1629969ms       1632065ms
  343)      1             4            23425              737ms           1632115ms       1632852ms
  344)      1             4             5124             6575ms           1632902ms       1639477ms
  345)      1             4            46977             2009ms           1639527ms       1641536ms
  346)      1             4             5698             3171ms           1641586ms       1644757ms
  347)      1             4            48204             8986ms           1644807ms       1653793ms
  348)      1             4            10985             7057ms           1653843ms       1660900ms
  349)      1             4            37566             9397ms           1660950ms       1670347ms
  350)      1             4            10562             9611ms           1670397ms       1680008ms
  351)      1             4             4110             8593ms           1680058ms       1688651ms
  352)      1             4            27724             3148ms           1688701ms       1691849ms
  353)      1             4            65291             2557ms           1691899ms       1694456ms
  354)      1             4            52369             3554ms           1694506ms       1698060ms
  355)      1             4            30380             1328ms           1698110ms       1699438ms
  356)      1             4            53612             7072ms           1699488ms       1706560ms
  357)      1             4            37391             1696ms           1706610ms       1708306ms
  358)      1             4            17575             1689ms           1708356ms       1710045ms
  359)      1             4            26866             3470ms           1710095ms       1713565ms
  360)      1             4            43417             6482ms           1713615ms       1720097ms
  361)      1             4            18396             6574ms           1720147ms       1726721ms
  362)      1             4            55557             2051ms           1726771ms       1728822ms
  363)      1             4             6852             2115ms           1728872ms       1730987ms
  364)      1             4             6108             8423ms           1731037ms       1739460ms
  365)      1             4            30163              161ms           1739510ms       1739671ms
  366)      1             4            41246             3570ms           1739721ms       1743291ms
  367)      1             4            61525             8231ms           1743341ms       1751572ms
  368)      1             4             8640             8939ms           1751622ms       1760561ms
  369)      1             4            16468             1768ms           1760611ms       1762379ms
  370)      1             4            63816             3192ms           1762429ms       1765621ms
  371)      1             4            44730             1736ms           1765671ms       1767407ms
  372)      1             4            59340             8946ms           1767457ms       1776403ms
  373)      1             4            31807             9657ms           1776453ms       1786110ms
  374)      1             4            29334             3854ms           1786160ms       1790014ms
  375)      1             4            35929             3344ms           1790064ms       1793408ms
  376)      1             4            43671             6949ms           1793458ms       1800407ms
  377)      1             4            64514             6664ms           1800457ms       1807121ms
  378)      1             4            32036             5279ms           1807171ms       1812450ms
  379)      1             4            13904             1883ms           1812500ms       1814383ms
  380)      1             4            35156             6623ms           1814433ms       1821056ms
  381)      1             4             3846             4107ms           1821106ms       1825213ms
  382)      1             4            45515             7876ms           1825263ms       1833139ms
  383)      1             4            39849             2190ms           1833189ms       1835379ms
  384)      1             4            35239             3427ms           1835429ms       1838856ms
  385)      1             4             4549             5346ms           1838906ms       1844252ms
  386)      1             4            56339             6985ms           1844302ms       1851287ms
  387)      1             4            23304             9939ms           1851337ms       1861276ms
  388)      1             4            22752             2561ms           1861326ms       1863887ms
  389)      1             4            33947             5005ms           1863937ms       1868942ms
  390)      1             4            22318             8418ms           1868992ms       1877410ms
  391)      1             4            18003             1439ms           1877460ms       1878899ms
  392)      1             4            24189             9484ms           1878949ms       1888433ms
  393)      1             4            12107             2807ms           1888483ms       1891290ms
  394)      1             4            43373              178ms           1891340ms       1891518ms
  395)      1             5            64227             9412ms           1891568ms       1900980ms
  396)      1             5            65094              899ms           1901030ms       1901929ms
  397)      1             5            30130             5190ms           1901979ms       1907169ms
  398)      1             5             6641             9852ms           1907219ms       1917071ms
  399)      1             5            36796             8015ms           1917121ms       1925136ms
  400)      1             5            11217             5336ms           1925186ms       1930522ms
  401)      1             5            36642             7279ms           1930572ms       1937851ms
  402)      1             5            40785             2317ms           1937901ms       1940218ms
  403)      1             5              725             1583ms           1940268ms       1941851ms
  404)      1             5            15354              633ms           1941901ms       1942534ms
  405)      1             5            57004             6710ms           1942584ms       1949294ms
  406)      1             5            42052             1184ms           1949344ms       1950528ms
  407)      1             5            63968             2976ms           1950578ms       1953554ms
  408)      1             5            38625             4360ms           1953604ms       1957964ms
  409)      1             5            43900             6137ms           1958014ms       1964151ms
  410)      1             5            18449             3610ms           1964201ms       1967811ms
  411)      1             5            16568             7737ms           1967861ms       1975598ms
  412)      1             5            47624              561ms           1975648ms       1976209ms
  413)      1             5            54727             3282ms           1976259ms       1979541ms
  414)      1             5             8821             5954ms           1979591ms       1985545ms
